station,departures,arrivals,net_outflow,net_outflow_pct
Wells St & Randolph St,10647,10523,124,0.6
Ogden Ave & Chicago Ave,11323,11210,113,0.5
Kedzie Ave & Palmer Ct,4011,3900,111,1.4
Indiana Ave & Roosevelt Rd,23994,23901,93,0.2
May St & Taylor St,10070,9977,93,0.5
Ashland Ave & Belle Plaine Ave,2723,2641,82,1.5
Wolcott (Ravenswood) Ave & Montrose Ave,4798,4718,80,0.8
Calumet Ave & 21st St,4600,4521,79,0.9
Halsted St & Wrightwood Ave,13571,13492,79,0.3
Leavitt St & Division St,3751,3678,73,1.0
Lincoln Ave & Diversey Pkwy,9359,9286,73,0.4
Western Ave & Winnebago Ave,7938,7866,72,0.5
Ellis Ave & 60th St,20344,20274,70,0.2
State St & 19th St,2672,2602,70,1.3
Canal St & Madison St,23330,23261,69,0.1
Marine Dr & Ainslie St,6225,6159,66,0.5
Larrabee St & Menomonee St,4914,4852,62,0.6
Clark St & Lunt Ave,3450,3398,52,0.8
Elston Ave & Cortland St,9142,9090,52,0.3
LaSalle St & Adams St,4912,4862,50,0.5
Racine Ave & Belmont Ave,9444,9397,47,0.2
Sheffield Ave & Kingsbury St,11729,11683,46,0.2
Racine Ave & 15th St,2842,2798,44,0.8
Dearborn St & Monroe St,17654,17613,41,0.1
Elizabeth St & Fulton St,6010,5970,40,0.3
Streeter Dr/Grand Ave,7417,7379,38,0.3
Chicago Ave & Sheridan Rd,4517,4480,37,0.4
Federal St & Polk St,15949,15915,34,0.1
Clark St & Winnemac Ave,11790,11760,30,0.1
Halsted St & 18th St,3744,3716,28,0.4
Milwaukee Ave & Rockwell St,3248,3220,28,0.4
Walsh Park,6278,6251,27,0.2
Western Ave & Fillmore St,3637,3610,27,0.4
Halsted St & Fulton St,19052,19026,26,0.1
Fairbanks Ct & Grand Ave,15976,15953,23,0.1
Damen Ave & Sunnyside Ave,3380,3358,22,0.3
Ravenswood Ave & Irving Park Rd,5148,5129,19,0.2
Sheridan Rd & Lawrence Ave,5484,5465,19,0.2
Wabash Ave & Cermak Rd,3472,3455,17,0.2
Racine Ave & Washington Blvd,4973,4963,10,0.1
Canal St & Adams St,20013,20009,4,0.0
Broadway & Cornelia Ave,16706,16703,3,0.0
Shields Ave & 31st St,4304,4302,2,0.0
Rush St & Cedar St,13902,13902,0,0.0
Halsted St & Archer Ave,2529,2530,-1,0.0
Ellis Ave & 58th St,8024,8027,-3,0.0
Damen Ave & Grand Ave,4645,4652,-7,-0.1
Humboldt Blvd & Armitage Ave,4004,4011,-7,-0.1
Ashland Ave & Division St,18029,18044,-15,0.0
Griffin Museum of Science and Industry,4202,4218,-16,-0.2
Greenview Ave & Jarvis Ave,2766,2787,-21,-0.4
Sheridan Rd & Argyle St,5982,6004,-22,-0.2
Wabash Ave & Roosevelt Rd,19700,19727,-27,-0.1
Racine Ave & Fullerton Ave,11028,11057,-29,-0.1
Southport Ave & Wellington Ave,10420,10451,-31,-0.1
Damen Ave & Foster Ave,3221,3253,-32,-0.5
Ogden Ave & Race Ave,8193,8229,-36,-0.2
Wabash Ave & Grand Ave,23262,23300,-38,-0.1
Clinton St & 18th St,3102,3143,-41,-0.7
Lincoln Ave & Byron St,3939,3980,-41,-0.5
St. Louis Ave & Fullerton Ave,2825,2873,-48,-0.8
Glenwood Ave & Morse Ave,3440,3493,-53,-0.8
Damen Ave & Thomas St (Augusta Blvd),6730,6788,-58,-0.4
Leavitt St & Belmont Ave,3832,3891,-59,-0.8
Clark St & Leland Ave,8306,8366,-60,-0.4
Western Ave & Division St,4467,4532,-65,-0.7
Racine Ave & 18th St,5863,5930,-67,-0.6
Sheridan Rd & Columbia Ave,2785,2852,-67,-1.2
Lake Park Ave & 53rd St,6488,6558,-70,-0.5
Wabash Ave & Adams St,10769,10841,-72,-0.3
Clinton St & Roosevelt Rd,6360,6434,-74,-0.6
Clark St & Grace St,10143,10218,-75,-0.4
Clarendon Ave & Gordon Ter,12297,12373,-76,-0.3
Fairbanks St & Superior St,6796,6874,-78,-0.6
Sheridan Rd & Noyes St (NU),4895,4973,-78,-0.8
Western Ave & Leland Ave,5882,5963,-81,-0.7
Broadway & Argyle St,6385,6467,-82,-0.6
Orleans St & Hubbard St,7888,7970,-82,-0.5
California Ave & North Ave,3412,3496,-84,-1.2
Racine Ave & Randolph St,3327,3414,-87,-1.3
Broadway & Berwyn Ave,6257,6345,-88,-0.7
Canal St & Taylor St,5614,5708,-94,-0.8
Wilton Ave & Diversey Pkwy*,4844,4939,-95,-1.0
Wells St & Elm St,26566,26663,-97,-0.2
